#lambda_l=1.298357729832e-01, lambda_r=1.298357729832e-01
3.096171531954e-06 3.096171531954e-06
3.096171321890e-06 3.096171321890e-06
2.848162605266e-06 2.848162605266e-06
2.800275089434e-06 2.800275089434e-06
2.800273004945e-06 2.800273004945e-06
2.677380217412e-06 2.677380217412e-06
1.915793971289e-06 1.915793971289e-06
1.915775640159e-06 1.915775640159e-06
1.903883625919e-06 1.903883625919e-06
1.903537481722e-06 1.903537481722e-06
1.902775064307e-06 1.902775064307e-06
1.902774058530e-06 1.902774058530e-06
1.902351616009e-06 1.902351616009e-06
1.902350485166e-06 1.902350485166e-06
1.902252367171e-06 1.902252367171e-06
1.901843820257e-06 1.901843820257e-06
1.897564777685e-06 1.897564777685e-06
1.897484716923e-06 1.897484716923e-06
1.504626082432e-06 1.504626082432e-06
1.504615919798e-06 1.504615919798e-06
1.504612142192e-06 1.504612142192e-06
1.504607224081e-06 1.504607224081e-06
1.504108403080e-06 1.504108403080e-06
1.504106063674e-06 1.504106063674e-06
1.504099116421e-06 1.504099116421e-06
1.504093971546e-06 1.504093971546e-06
1.119905922531e-06 1.119905922531e-06
1.107445739157e-06 1.107445739157e-06
1.107442026990e-06 1.107442026990e-06
1.100420292710e-06 1.100420292710e-06
8.626637614221e-07 8.626637614222e-07
8.626535291381e-07 8.626535291382e-07
6.439407986538e-07 6.439407986538e-07
6.439373003424e-07 6.439373003424e-07
6.439369707273e-07 6.439369707273e-07
6.439295535196e-07 6.439295535196e-07
5.041032589064e-07 5.041032589064e-07
5.040965651249e-07 5.040965651249e-07
4.998128113295e-07 4.998128113295e-07
4.998048911331e-07 4.998048911331e-07
4.487080784975e-07 4.487080784975e-07
4.487076012450e-07 4.487076012450e-07
4.486956975249e-07 4.486956975249e-07
4.486946030657e-07 4.486946030657e-07
4.132156209218e-07 4.132156209218e-07
4.132153396434e-07 4.132153396434e-07
4.132152965831e-07 4.132152965831e-07
4.132152758309e-07 4.132152758309e-07
4.001839622426e-07 4.001839622426e-07
4.001834380627e-07 4.001834380627e-07
4.001800580876e-07 4.001800580876e-07
4.001796319816e-07 4.001796319816e-07
3.918772797269e-07 3.918772797269e-07
3.918771856903e-07 3.918771856903e-07
3.918735175547e-07 3.918735175547e-07
3.918735129315e-07 3.918735129315e-07
3.359694530289e-07 3.359694530289e-07
3.359564269359e-07 3.359564269359e-07
3.359561647755e-07 3.359561647755e-07
3.359549887617e-07 3.359549887617e-07
2.860518682817e-07 2.860518682818e-07
2.836218001345e-07 2.836218001345e-07
2.823982283135e-07 2.823982283136e-07
2.823935022393e-07 2.823935022394e-07
2.708659394201e-07 2.708659394201e-07
2.708649065377e-07 2.708649065377e-07
2.685476050904e-07 2.685476050904e-07
2.685470508796e-07 2.685470508796e-07
2.546515088842e-07 2.546515088842e-07
2.281872271804e-07 2.281872271805e-07
1.484864630094e-07 1.484864630094e-07
1.484583510833e-07 1.484583510833e-07
1.484575346663e-07 1.484575346663e-07
1.484566138730e-07 1.484566138730e-07
1.022979126965e-07 1.022979126965e-07
9.482899287194e-08 9.482899287186e-08
8.116911393287e-08 8.116911393287e-08
8.116887151027e-08 8.116887151027e-08
7.773686384497e-08 7.773686384498e-08
7.773680811745e-08 7.773680811745e-08
6.399734865858e-08 6.399734865858e-08
6.351587207859e-08 6.351587207859e-08
6.351532986524e-08 6.351532986524e-08
5.922483798986e-08 5.922483798986e-08
4.169229487881e-08 4.169229487879e-08
4.167030313432e-08 4.167030313431e-08
4.164284140726e-08 4.164284140778e-08
4.162101314896e-08 4.162101314948e-08
4.154155208549e-08 4.154155208477e-08
4.151071411102e-08 4.151071411031e-08
4.144528701861e-08 4.144528701866e-08
4.143509514909e-08 4.143509514905e-08
2.711640957452e-08 2.711640957452e-08
2.711638495933e-08 2.711638495933e-08
2.711554556741e-08 2.711554556741e-08
2.711553114347e-08 2.711553114347e-08
2.392548589517e-08 2.392548589517e-08
2.392501253800e-08 2.392501253800e-08
2.392249719973e-08 2.392249719973e-08
2.392203105204e-08 2.392203105205e-08
2.385335073667e-08 2.385335073666e-08
2.385272319285e-08 2.385272319285e-08
2.384854754408e-08 2.384854754407e-08
2.384817597235e-08 2.384817597234e-08
2.272474494720e-08 2.272474494720e-08
2.272468200087e-08 2.272468200087e-08
2.272423408869e-08 2.272423408869e-08
2.272421136543e-08 2.272421136543e-08
2.062886117388e-08 2.062886117388e-08
1.397577965874e-08 1.397577965874e-08
1.397558987708e-08 1.397558987709e-08
1.387660450152e-08 1.387660450152e-08
1.335952476589e-08 1.335952476589e-08
1.335792196135e-08 1.335792196135e-08
1.092257031216e-08 1.092257031215e-08
1.088719564491e-08 1.088719564550e-08
1.081183922750e-08 1.081183922761e-08
1.080186150640e-08 1.080186150638e-08
1.080083544284e-08 1.080083544284e-08
1.079781511078e-08 1.079781510998e-08
1.076103880695e-08 1.076103880703e-08
1.075609222614e-08 1.075609222662e-08
1.067853268185e-08 1.067853268105e-08
1.063409539767e-08 1.063409539763e-08
9.496135845551e-09 9.496135845552e-09
9.412746428272e-09 9.412746428274e-09
9.412473552703e-09 9.412473552703e-09
7.403955669504e-09 7.403955669507e-09
7.003701482357e-09 7.003701482357e-09
7.003635972634e-09 7.003635972634e-09
6.272458620607e-09 6.272458620606e-09
6.272092914549e-09 6.272092914547e-09
5.748631896556e-09 5.748631896558e-09
5.569402921396e-09 5.569402921396e-09
5.569336642288e-09 5.569336642288e-09
5.569303140578e-09 5.569303140578e-09
5.569272875169e-09 5.569272875169e-09
5.568678592694e-09 5.568678592694e-09
5.568658857281e-09 5.568658857281e-09
5.568414282233e-09 5.568414282233e-09
5.568362567431e-09 5.568362567431e-09
5.515463244583e-09 5.515463244583e-09
5.425742184651e-09 5.425742184647e-09
5.420028753087e-09 5.420028753169e-09
5.399414586857e-09 5.399414586740e-09
5.394312559416e-09 5.394312559411e-09
4.943255764114e-09 4.943255764113e-09
4.935694864476e-09 4.935694864540e-09
4.896315272789e-09 4.896315272674e-09
4.888883551096e-09 4.888883551096e-09
4.888576973049e-09 4.888576973049e-09
4.883504949591e-09 4.883504949599e-09
4.872956425705e-09 4.872956425705e-09
4.868467445765e-09 4.868467445769e-09
4.794610629420e-09 4.794610629420e-09
4.787156702520e-09 4.787156702519e-09
4.773073691971e-09 4.773073691993e-09
4.770186080252e-09 4.770186080257e-09
4.768863016678e-09 4.768863016665e-09
4.739945245165e-09 4.739945245162e-09
4.732652700296e-09 4.732652700296e-09
4.722576516287e-09 4.722576516287e-09
4.437190340925e-09 4.437190340925e-09
4.419461029016e-09 4.419461029016e-09
4.403151587016e-09 4.403151587016e-09
4.396958204992e-09 4.396958204992e-09
4.385878016029e-09 4.385878016029e-09
4.380123399502e-09 4.380123399502e-09
4.369665970459e-09 4.369665970459e-09
4.368545477328e-09 4.368545477329e-09
4.358806745827e-09 4.358806745827e-09
4.334490334174e-09 4.334490334173e-09
4.334324220534e-09 4.334324220534e-09
4.287129184631e-09 4.287129184631e-09
4.255871580409e-09 4.255871580409e-09
4.214641812856e-09 4.214641812856e-09
4.212550329328e-09 4.212550329328e-09
4.211514745666e-09 4.211514745666e-09
4.209765349780e-09 4.209765349780e-09
4.208529615287e-09 4.208529615287e-09
4.207905007868e-09 4.207905007868e-09
4.182253529165e-09 4.182253529165e-09
4.181359400867e-09 4.181359400867e-09
4.159627989505e-09 4.159627989505e-09
4.156046118865e-09 4.156046118865e-09
4.149660460684e-09 4.149660460684e-09
4.149595290397e-09 4.149595290397e-09
4.137065699263e-09 4.137065699263e-09
4.136749385938e-09 4.136749385938e-09
4.129030515167e-09 4.129030515167e-09
3.997682148673e-09 3.997682148673e-09
3.984144517723e-09 3.984144517722e-09
3.981723724218e-09 3.981723724218e-09
3.981196731144e-09 3.981196731144e-09
3.953019148720e-09 3.953019148720e-09
3.944694839042e-09 3.944694839042e-09
3.866849443211e-09 3.866849443211e-09
3.744808393934e-09 3.744808393934e-09
3.314878263532e-09 3.314878263533e-09
2.762485349431e-09 2.762485349431e-09
2.762402112636e-09 2.762402112635e-09
2.761978550534e-09 2.761978550533e-09
2.761548722275e-09 2.761548722275e-09
2.760542675903e-09 2.760542675903e-09
2.760043858870e-09 2.760043858870e-09
2.759478476199e-09 2.759478476198e-09
2.759353617434e-09 2.759353617433e-09
2.467470893911e-09 2.467470893912e-09
2.466792520469e-09 2.466792520471e-09
2.390911088621e-09 2.390911088621e-09
2.269997464346e-09 2.269997464349e-09
2.269008557264e-09 2.269008557265e-09
1.969843225047e-09 1.969843225051e-09
1.969829826404e-09 1.969829826411e-09
1.968611190975e-09 1.968611190978e-09
1.968588313402e-09 1.968588313400e-09
1.940992105502e-09 1.940992105501e-09
1.811339382774e-09 1.811339382774e-09
1.808918536917e-09 1.808918536917e-09
1.723064731874e-09 1.723064731868e-09
1.720295270725e-09 1.720295270723e-09
1.719140449753e-09 1.719140449753e-09
1.718178333335e-09 1.718178333340e-09
1.695673395614e-09 1.695673395614e-09
1.695658437649e-09 1.695658437649e-09
1.695615210468e-09 1.695615210468e-09
1.695595831161e-09 1.695595831161e-09
1.621028785866e-09 1.621028785866e-09
1.620932807973e-09 1.620932807973e-09
1.620755982765e-09 1.620755982765e-09
1.620704538763e-09 1.620704538763e-09
1.583218092456e-09 1.583218092458e-09
1.577761347731e-09 1.577761347731e-09
1.577527576007e-09 1.577527576007e-09
1.577480297844e-09 1.577480297844e-09
1.576007141388e-09 1.576007141389e-09
1.574989500854e-09 1.574989500855e-09
1.543168263958e-09 1.543168263958e-09
1.542991416196e-09 1.542991416194e-09
1.541849023134e-09 1.541849023132e-09
1.541740567694e-09 1.541740567695e-09
1.308530161263e-09 1.308530161265e-09
1.250767777593e-09 1.250767777572e-09
1.248849324757e-09 1.248849324741e-09
1.234541374560e-09 1.234541374558e-09
1.234486672803e-09 1.234486672806e-09
1.189580561734e-09 1.189580561584e-09
1.188443490202e-09 1.188443490224e-09
1.183191132524e-09 1.183191132328e-09
1.180517428597e-09 1.180517428625e-09
1.179667669609e-09 1.179667669672e-09
1.176429798994e-09 1.176429798891e-09
1.170080189644e-09 1.170080190008e-09
1.169877759113e-09 1.169877759197e-09
1.166340929539e-09 1.166340929538e-09
1.162990921493e-09 1.162990921493e-09
1.156594583065e-09 1.156594583027e-09
1.156330687439e-09 1.156330687323e-09
1.156275842819e-09 1.156275842819e-09
1.155970455486e-09 1.155970455475e-09
1.154754323122e-09 1.154754323067e-09
1.148797214768e-09 1.148797214771e-09
1.147760889021e-09 1.147760889021e-09
1.141291219074e-09 1.141291219074e-09
1.132498761601e-09 1.132498761601e-09
1.130492227027e-09 1.130492227027e-09
1.125404836125e-09 1.125404836125e-09
1.124685090472e-09 1.124685090472e-09
1.124414552822e-09 1.124414552822e-09
1.116089105861e-09 1.116089105861e-09
1.112881268985e-09 1.112881268984e-09
1.110713912958e-09 1.110713912959e-09
1.091795342499e-09 1.091795342499e-09
1.091675414962e-09 1.091675414962e-09
1.081191947785e-09 1.081191947785e-09
1.079287084236e-09 1.079287084243e-09
1.074949128764e-09 1.074949128763e-09
1.057709898920e-09 1.057709898919e-09
1.056192264885e-09 1.056192264885e-09
1.035762103884e-09 1.035762103883e-09
1.035678070669e-09 1.035678070669e-09
1.033296178019e-09 1.033296178019e-09
1.022381065490e-09 1.022381065490e-09
1.016309976880e-09 1.016309976880e-09
1.013434176229e-09 1.013434176229e-09
1.007379965993e-09 1.007379965993e-09
1.006806257533e-09 1.006806257532e-09
9.781430739423e-10 9.781430739435e-10
9.769148293817e-10 9.769148293805e-10
9.767616237325e-10 9.767616237328e-10
9.751428074810e-10 9.751428074810e-10
8.057931172323e-10 8.057931141834e-10
8.057326370521e-10 8.057326358952e-10
8.056697209037e-10 8.056697189065e-10
8.052148733289e-10 8.052148718160e-10
7.746858668387e-10 7.746858660496e-10
7.736295770154e-10 7.736295770159e-10
7.732478122344e-10 7.732478106626e-10
7.731455560217e-10 7.731455553253e-10
7.719159215634e-10 7.719159217075e-10
7.709046982590e-10 7.709046983133e-10
7.690771648292e-10 7.690771648307e-10
7.682343553407e-10 7.682343549906e-10
7.676993409004e-10 7.676993402741e-10
7.672591292554e-10 7.672591291519e-10
7.654153407960e-10 7.654153409967e-10
7.646135785725e-10 7.646135786163e-10
7.643174700789e-10 7.643174691775e-10
7.642767894186e-10 7.642767894239e-10
7.639292977196e-10 7.639293019707e-10
7.639230839224e-10 7.639230847275e-10
7.635307070086e-10 7.635307070152e-10
7.629840573276e-10 7.629840573209e-10
7.618003012344e-10 7.618003012359e-10
7.617947607814e-10 7.617947607732e-10
6.926661955410e-10 6.926661956910e-10
6.811855577060e-10 6.811855577143e-10
6.604727608147e-10 6.604727608150e-10
6.561861832527e-10 6.561861832526e-10
6.561531260977e-10 6.561531260975e-10
6.462858254864e-10 6.462858254917e-10
6.461787077394e-10 6.461787077447e-10
6.388527342629e-10 6.388527342702e-10
6.387366582274e-10 6.387366582349e-10
6.383157689409e-10 6.383157689476e-10
6.382035247941e-10 6.382035248011e-10
6.262813592151e-10 6.262813592149e-10
6.258706339423e-10 6.258706339422e-10
5.891876936376e-10 5.891876943764e-10
5.804636937605e-10 5.804636937472e-10
5.363701334911e-10 5.363701333459e-10
5.361525127711e-10 5.361525127747e-10
5.356780567499e-10 5.356780567389e-10
5.353494029497e-10 5.353494025865e-10
5.352069347938e-10 5.352069346656e-10
5.344887469984e-10 5.344887468624e-10
5.307247790771e-10 5.307247790731e-10
5.271120408876e-10 5.271120408880e-10
5.177740662058e-10 5.177740662230e-10
5.174660454345e-10 5.174660454099e-10
5.172666478456e-10 5.172666477508e-10
5.166397000197e-10 5.166396997698e-10
5.159596662243e-10 5.159596659375e-10
5.151727399213e-10 5.151727396318e-10
5.146826032782e-10 5.146826032790e-10
5.145450220856e-10 5.145450220915e-10
5.145208034436e-10 5.145208033509e-10
5.142812047615e-10 5.142812047652e-10
5.136667001245e-10 5.136667001158e-10
5.135962502631e-10 5.135962502548e-10
5.135211455990e-10 5.135211455355e-10
5.131994374144e-10 5.131994371256e-10
5.121014471659e-10 5.121014471863e-10
5.097689705747e-10 5.097689705754e-10
5.095491113119e-10 5.095491113140e-10
5.093853217869e-10 5.093853217898e-10
5.092052558852e-10 5.092052558822e-10
5.091322835573e-10 5.091322835607e-10
5.088884051197e-10 5.088884051237e-10
5.088618558643e-10 5.088618558618e-10
5.087631129015e-10 5.087631129011e-10
5.087052187386e-10 5.087052187171e-10
5.084853042819e-10 5.084853042804e-10
5.083879285470e-10 5.083879284880e-10
5.081214000272e-10 5.081214000217e-10
5.080580858295e-10 5.080580858315e-10
5.079626327049e-10 5.079626326833e-10
5.076724509707e-10 5.076724509179e-10
5.075431870812e-10 5.075431871219e-10
5.045200716384e-10 5.045200716397e-10
4.949287237004e-10 4.949287219510e-10
4.946052763975e-10 4.946052770042e-10
4.941747831264e-10 4.941747802323e-10
4.938738703377e-10 4.938738759565e-10
4.932393312626e-10 4.932393291326e-10
4.930049741559e-10 4.930049745281e-10
4.929486429795e-10 4.929486434438e-10
4.927979452243e-10 4.927979466618e-10
4.834352677598e-10 4.834352656007e-10
4.834206826523e-10 4.834206797053e-10
4.819691523379e-10 4.819691479149e-10
4.819301848828e-10 4.819301832337e-10
4.407280128438e-10 4.407280128255e-10
4.393001782584e-10 4.393001782540e-10
4.387483679293e-10 4.387483679283e-10
4.386969073616e-10 4.386969073615e-10
4.242790431496e-10 4.242790431494e-10
4.242017724309e-10 4.242017724314e-10
4.239912268990e-10 4.239912268988e-10
4.239879900634e-10 4.239879900635e-10
4.074502101951e-10 4.074502101935e-10
3.336614753586e-10 3.336614753555e-10
3.336591252386e-10 3.336591252352e-10
3.335507950374e-10 3.335507950464e-10
3.335482693467e-10 3.335482693539e-10
3.334179421005e-10 3.334179421073e-10
3.334153781293e-10 3.334153781381e-10
3.333143795852e-10 3.333143795767e-10
3.333136105602e-10 3.333136105508e-10
3.324748037894e-10 3.324748038072e-10
3.324717721053e-10 3.324717721251e-10
3.323964491058e-10 3.323964491048e-10
3.323945737421e-10 3.323945737389e-10
3.323374067478e-10 3.323374067696e-10
3.323327509186e-10 3.323327509336e-10
3.322901033634e-10 3.322901033698e-10
3.322869842970e-10 3.322869843038e-10
3.316045329385e-10 3.316045329445e-10
3.316033955178e-10 3.316033955258e-10
3.315705738396e-10 3.315705738436e-10
3.315696682030e-10 3.315696682090e-10
3.314189009604e-10 3.314189009740e-10
3.314183992572e-10 3.314183992699e-10
3.314126252223e-10 3.314126252224e-10
3.314115480469e-10 3.314115480494e-10
3.152806075784e-10 3.152806075784e-10
2.789849549255e-10 2.789849549255e-10
2.789615221077e-10 2.789615221077e-10
2.733603344801e-10 2.733603344795e-10
2.733521169149e-10 2.733521169145e-10
2.529383660650e-10 2.529383660472e-10
2.528315090286e-10 2.528315090209e-10
2.526059102598e-10 2.526059102524e-10
2.525821576288e-10 2.525821576148e-10
2.430167329669e-10 2.430167329666e-10
2.426195130665e-10 2.426195130680e-10
2.424457581200e-10 2.424457581189e-10
2.421168386985e-10 2.421168386984e-10
2.414559337813e-10 2.414559337777e-10
2.413058890976e-10 2.413058890809e-10
2.406202410293e-10 2.406202410286e-10
2.404020975699e-10 2.404020975672e-10
2.402438197889e-10 2.402438197857e-10
2.396808853099e-10 2.396808853087e-10
2.392886368661e-10 2.392886368647e-10
2.391495566964e-10 2.391495566966e-10
2.388932051359e-10 2.388932051293e-10
2.379609613095e-10 2.379609613042e-10
2.318450306419e-10 2.318450306366e-10
2.317630748868e-10 2.317630748879e-10
2.312523097205e-10 2.312523097223e-10
2.309796393899e-10 2.309796393864e-10
2.308109140734e-10 2.308109140693e-10
2.301720530550e-10 2.301720530534e-10
2.299398641049e-10 2.299398641054e-10
2.296935074749e-10 2.296935074726e-10
2.296405754347e-10 2.296405754361e-10
2.293788292651e-10 2.293788292697e-10
2.288570553331e-10 2.288570553395e-10
2.288450565000e-10 2.288450565111e-10
2.280034999986e-10 2.280034999730e-10
2.265186807820e-10 2.265186807558e-10
2.260761690497e-10 2.260761690385e-10
2.260385982249e-10 2.260385981572e-10
2.217093580197e-10 2.217093580197e-10
2.217014333529e-10 2.217014333528e-10
2.216754153380e-10 2.216754153379e-10
2.216744941345e-10 2.216744941344e-10
2.199578083906e-10 2.199578083906e-10
2.199243381950e-10 2.199243381950e-10
2.199159257394e-10 2.199159257393e-10
2.199111195851e-10 2.199111195852e-10
2.185415596764e-10 2.185415596764e-10
2.185079920608e-10 2.185079920608e-10
2.185053806017e-10 2.185053806017e-10
2.184775816506e-10 2.184775816504e-10
2.182907298725e-10 2.182907298725e-10
2.166956605087e-10 2.166956605079e-10
2.166937062141e-10 2.166937062095e-10
2.165120758187e-10 2.165120758080e-10
2.164786505220e-10 2.164786505158e-10
2.061883553159e-10 2.061883553174e-10
2.059705025881e-10 2.059705025887e-10
2.054621012354e-10 2.054621012309e-10
2.041620730931e-10 2.041620730935e-10
2.024019909256e-10 2.024019909260e-10
2.019234311607e-10 2.019234311609e-10
2.006580022949e-10 2.006580022957e-10
2.003108678741e-10 2.003108678742e-10
2.002589721458e-10 2.002589721474e-10
1.997445590586e-10 1.997445590604e-10
1.980160407335e-10 1.980160407337e-10
1.979841814891e-10 1.979841814891e-10
1.828330377409e-10 1.828330377409e-10
1.822346462529e-10 1.822346462946e-10
1.800648919344e-10 1.800648919341e-10
1.781966778196e-10 1.781966778126e-10
1.747929011509e-10 1.747929011509e-10
1.747272808100e-10 1.747272808101e-10
1.656979591221e-10 1.656979591265e-10
1.643720496409e-10 1.643720496460e-10
1.628449701280e-10 1.628449701330e-10
1.627447074810e-10 1.627447074858e-10
1.609381619410e-10 1.609381619479e-10
1.607006355911e-10 1.607006355967e-10
1.568873313466e-10 1.568873313391e-10
1.564959945338e-10 1.564959945265e-10
1.562671634382e-10 1.562671634419e-10
1.561547654331e-10 1.561547654318e-10
1.558235928055e-10 1.558235928103e-10
1.556056148218e-10 1.556056148106e-10
1.555089766352e-10 1.555089766351e-10
1.553909731803e-10 1.553909731895e-10
1.551351268821e-10 1.551351268910e-10
1.520493926645e-10 1.520493926668e-10
1.517455102138e-10 1.517455102135e-10
1.502183304786e-10 1.502183304589e-10
1.501566810455e-10 1.501566810347e-10
1.501288895333e-10 1.501288895302e-10
1.500955439028e-10 1.500955439115e-10
1.500257788389e-10 1.500257788311e-10
1.499647632412e-10 1.499647632428e-10
1.498843448436e-10 1.498843448489e-10
1.497911347087e-10 1.497911347134e-10
1.497853520923e-10 1.497853520884e-10
1.496128155037e-10 1.496128155087e-10
1.495931853076e-10 1.495931853450e-10
1.485077866943e-10 1.485077866971e-10
1.485032213655e-10 1.485032213708e-10
1.480267162395e-10 1.480267162460e-10
1.480114217317e-10 1.480114217126e-10
1.479393868672e-10 1.479393868751e-10
1.479194381913e-10 1.479194382047e-10
1.476046732419e-10 1.476046732692e-10
1.474163439603e-10 1.474163439547e-10
1.473557815921e-10 1.473557816078e-10
1.471833370049e-10 1.471833370116e-10
1.467017809340e-10 1.467017809516e-10
1.286747912236e-10 1.286747912226e-10
1.280642534091e-10 1.280642534075e-10
1.280142339282e-10 1.280142339306e-10
1.277257581974e-10 1.277257581991e-10
1.043958593797e-10 1.043958593797e-10
1.043844677376e-10 1.043844677377e-10
1.043618567686e-10 1.043618567686e-10
1.043614480360e-10 1.043614480360e-10
1.043204234333e-10 1.043204234333e-10
1.042849479814e-10 1.042849479815e-10
1.042676037037e-10 1.042676037038e-10
1.042414011116e-10 1.042414011116e-10
1.031955676080e-10 1.031955676080e-10
9.974239375642e-11 9.974239375642e-11
9.963593125671e-11 9.963593125669e-11
9.959393978985e-11 9.959393978982e-11
9.958804426788e-11 9.958804426786e-11
9.952730712220e-11 9.952730712225e-11
9.951468273284e-11 9.951468273282e-11
9.949222675378e-11 9.949222675383e-11
9.948212856287e-11 9.948212856286e-11
9.895610244390e-11 9.895610244393e-11
9.894973880431e-11 9.894973880431e-11
9.893883207621e-11 9.893883207619e-11
9.893375287527e-11 9.893375287533e-11
9.891383318071e-11 9.891383318070e-11
9.890639109154e-11 9.890639109155e-11
9.890228701081e-11 9.890228701082e-11
9.887981836365e-11 9.887981836363e-11
9.163449473171e-11 9.163449468726e-11
9.033193520486e-11 9.033193515485e-11
8.815078390530e-11 8.815078394515e-11
8.736635767350e-11 8.736635767350e-11
8.730621722652e-11 8.730621722653e-11
8.728880972626e-11 8.728880972635e-11
8.709141463995e-11 8.709141463995e-11
8.686873196615e-11 8.686873200245e-11
8.498081604922e-11 8.498081605034e-11
8.296616201850e-11 8.296616201851e-11
8.290448177424e-11 8.290448177401e-11
8.232203507476e-11 8.232203507497e-11
8.219797243923e-11 8.219797243950e-11
8.202600690263e-11 8.202600690236e-11
8.160645396630e-11 8.160645396584e-11
8.137904165976e-11 8.137904166004e-11
8.132933495131e-11 8.132933495132e-11
8.126482739169e-11 8.126482739153e-11
8.119025524762e-11 8.119025524755e-11
8.112373176462e-11 8.112373176461e-11
8.112364006377e-11 8.112364006341e-11
8.107161292177e-11 8.107161292171e-11
8.095549598914e-11 8.095549598908e-11
8.095530075766e-11 8.095530075772e-11
8.069370568436e-11 8.069370568407e-11
8.061960541433e-11 8.061960541394e-11
8.060106635220e-11 8.060106635247e-11
7.810672209186e-11 7.810672209041e-11
7.758680068084e-11 7.758680068002e-11
7.652767523502e-11 7.652767523454e-11
7.627269740585e-11 7.627269740571e-11
7.619400647354e-11 7.619400647281e-11
7.600087491555e-11 7.600087491532e-11
7.455039076316e-11 7.455039076315e-11
7.427428644714e-11 7.427428644716e-11
7.411024671637e-11 7.411024671637e-11
7.271834588186e-11 7.271834588160e-11
7.185787375792e-11 7.185787375792e-11
6.712123908850e-11 6.712123908847e-11
6.698214297120e-11 6.698214297115e-11
6.673050084970e-11 6.673050084970e-11
6.656319073312e-11 6.656319073305e-11
6.496478363717e-11 6.496478362814e-11
6.461884922712e-11 6.461884923431e-11
6.431300470925e-11 6.431300470929e-11
6.429217112382e-11 6.429217112310e-11
6.415450347595e-11 6.415450347595e-11
6.410664513205e-11 6.410664513158e-11
6.384117981023e-11 6.384117980929e-11
6.381433897260e-11 6.381433897289e-11
6.242230916492e-11 6.242230915878e-11
6.238752485057e-11 6.238752484780e-11
6.189926666830e-11 6.189926666569e-11
6.174812394530e-11 6.174812386938e-11
6.161970937652e-11 6.161970937167e-11
6.148299955301e-11 6.148299954377e-11
5.904883731281e-11 5.904883731268e-11
5.882997463267e-11 5.882997463241e-11
5.875981382982e-11 5.875981382917e-11
5.785687380046e-11 5.785687380055e-11
5.772961264453e-11 5.772961264524e-11
5.753523214064e-11 5.753523214224e-11
5.705531333730e-11 5.705531333728e-11
5.691800338027e-11 5.691800338027e-11
5.680536474156e-11 5.680536475850e-11
5.662965275691e-11 5.662965275427e-11
5.609730229730e-11 5.609730229703e-11
5.594975111277e-11 5.594975111310e-11
5.568317117596e-11 5.568317118259e-11
5.554633125055e-11 5.554633125089e-11
5.550461917342e-11 5.550461918165e-11
5.543881004405e-11 5.543881004477e-11
5.484170647024e-11 5.484170647035e-11
